,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5583,3638770,WHS2_131,COUNTRY,TKM,EUR,YEAR,Europe,SEX,2016,SEX_FMLE,,,,,,,600 [460-700],595.526489258,455.256408691,703.133117676,,2025-03-19T11:00:50.48+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
5584,3640450,WHS2_131,COUNTRY,LKA,SEAR,YEAR,South-East Asia,SEX,2016,SEX_BTSX,,,,,,,480 [310-680],482.61227417,313.286376953,680.986572266,,2025-03-19T11:00:50.48+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
5585,3640959,WHS2_131,COUNTRY,MKD,EUR,YEAR,Europe,SEX,2003,SEX_MLE,,,,,,,880 [760-1250],884.78125,757.52331543,1247.147827148,,2025-03-19T11:00:50.48+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
5586,3644545,WHS2_131,COUNTRY,MNE,EUR,YEAR,Europe,SEX,2011,SEX_FMLE,,,,,,,500 [350-630],495.777313232,345.585693359,633.727355957,,2025-03-19T11:00:50.48+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
5587,3645149,WHS2_131,COUNTRY,KIR,WPR,YEAR,Western Pacific,SEX,2008,SEX_BTSX,,,,,,,1080 [610-1660],1077.750976563,607.475952148,1663.998291016,,2025-03-19T11:00:50.48+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
5588,3645925,WHS2_131,REGION,EMR,,YEAR,,SEX,2019,SEX_MLE,,,,,,,660 [420-940],655.87902832,419.267364502,939.867492676,,2025-03-19T11:00:50.48+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5589,3645981,WHS2_131,COUNTRY,CHL,AMR,YEAR,Americas,SEX,2007,SEX_BTSX,,,,,,,400 [300-480],399.854492188,303.112487793,484.675811768,,2025-03-19T11:00:50.48+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
5590,3646689,WHS2_131,COUNTRY,TJK,EUR,YEAR,Europe,SEX,2006,SEX_BTSX,,,,,,,790 [570-1120],786.939575195,574.717163086,1120.864624023,,2025-03-19T11:00:50.48+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
5591,3652213,WHS2_131,COUNTRY,MAR,EMR,YEAR,Eastern Mediterranean,SEX,2021,SEX_MLE,,,,,,,630 [400-980],631.686767578,398.680664063,977.279663086,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and should be interpreted with caution.",2025-03-19T11:00:50.48+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
5592,3652565,WHS2_131,COUNTRY,BDI,AFR,YEAR,Africa,SEX,2010,SEX_MLE,,,,,,,720 [380-1250],719.469421387,378.188140869,1252.586303711,,2025-03-19T11:00:50.48+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5593,3657886,WHS2_131,COUNTRY,IRN,EMR,YEAR,Eastern Mediterranean,SEX,2018,SEX_MLE,,,,,,,460 [340-540],464.801757813,339.404815674,539.422607422,,2025-03-19T11:00:50.48+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
5594,3657903,WHS2_131,COUNTRY,BRA,AMR,YEAR,Americas,SEX,2015,SEX_BTSX,,,,,,,480 [390-550],478.124938965,393.046600342,549.205688477,,2025-03-19T11:00:50.48+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5595,3659726,WHS2_131,COUNTRY,MYS,WPR,YEAR,Western Pacific,SEX,2010,SEX_MLE,,,,,,,590 [440-900],591.704772949,444.476348877,897.255187988,,2025-03-19T11:00:50.48+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
